X,Y,Z
-3959.769,1721.42,-378261.71875
-3852.859,1516.31,-378261.71875
-3835.769,1498.12,-378261.71875
-3728.429,1450.14,-378261.71875
-3729.159,1438.36,-378261.71875
-3694.659,1415.15,-378261.71875
-3652.449,1389.69,-378261.71875
-3643.469,1375.12,-378261.71875
-3644.919,1363.93,-378261.71875
-3670.199,1360.19,-378261.71875
-3668.739,1348.04,-378261.71875
-3663.409,1334.74,-378261.71875
-3713.549,1338.29,-378261.71875
-3767.579,1342.7,-378261.71875
-3807.269,1342.55,-378261.71875
-3827.809,1336.54,-378261.71875
-3804.169,1317.61,-378261.71875
-3754.489,1291.37,-378261.71875
-3678.719,1258.07,-378261.71875
-3865.639,1298.99,-378261.71875
-3852.389,1283.2,-378261.71875
-3816.909,1261.42,-378261.71875
-3798.709,1244.56,-378261.71875
-3879.919,1254.49,-378261.71875
-3865.529,1238.6,-378261.71875
-3876.229,1229.39,-378261.71875
-3429.969,1101.84,-378261.71875
-3396.689,1082.7,-378261.71875
-3453.489,1086.55,-378261.71875
-3406.529,1064.16,-378261.71875
-3399.279,1051.86,-378261.71875
-3498.859,1065.63,-378261.71875
-3813.439,1130.46,-378261.71875
-3816.089,1119.37,-378261.71875
-3878.089,1122.18,-378261.71875
-3893.379,1113.83,-378261.71875
-3871.609,1096.95,-378261.71875
-3880.989,1087.23,-378261.71875
-3890.339,1077.47,-378261.71875
-3801.009,1046.06,-378261.71875
-3761.379,1025.94,-378261.71875
-3709.929,1003.55,-378261.71875
-3690.669,988.25,-378261.71875
-3697.799,978.53,-378261.71875
-3700.989,967.98,-378261.71875
-3712.969,959.19,-378261.71875
-3700.399,945.49,-378261.71875
-3676.009,929.57,-378261.71875
-3645.659,912.68,-378261.71875
-3650.629,902.63,-378261.71875
-3635.899,888.92,-378261.71875
-3632.919,877.45,-378261.71875
-3611.209,862.65,-378261.71875
-3550.059,841.03,-378261.71875
-3521.319,825.4,-378261.71875
-3533.919,817.02,-378261.71875
-3540.589,807.57,-378261.71875
-3561.049,800.36,-378261.71875
-3593.339,794.96,-378261.71875
-3468.589,764.46,-378261.71875
-3494.879,758.22,-378261.71875
-3458.879,742.33,-378261.71875
-3494.019,737.31,-378261.71875
-3520.259,730.78,-378261.71875
-3466.319,712.58,-378261.71875
-3424.179,696.37,-378261.71875
-3262.109,663.9,-378261.71875
-3191.059,644.66,-378261.71875
-3224.019,639.57,-378261.71875
-3263.919,635.19,-378261.71875
-3298.859,629.95,-378261.71875
-3319.909,622.8,-378261.71875
-3319.099,612.91,-378261.71875
-3337.119,605.24,-378261.71875
-3319.369,593.39,-378261.71875
-3360.209,588.16,-378261.71875
-3355.319,577.75,-378261.71875
-3354.369,567.79,-378261.71875
-3349.409,557.43,-378261.71875
-3325.519,545.22,-378261.71875
-3308.549,533.83,-378261.71875
-3259.679,519.55,-378261.71875
-3219.719,506.38,-378261.71875
-3227.519,497.63,-378261.71875
-3235.309,488.84,-378261.71875
-3157.349,473,-378261.71875
-3175.039,465.16,-378261.71875
-3050.109,446.39,-378261.71875
-3221.319,449.98,-378261.71875
-3212.019,439.92,-378261.71875
-3183.719,428.64,-378261.71875
-3177.339,418.94,-378261.71875
-3202.879,411.24,-378261.71875
-3191.449,401.23,-378261.71875
-2095.669,331.1,-378261.71875
-2098.999,325.17,-378261.71875
-2101.299,319.18,-378261.71875
-2111.589,313.54,-378261.71875
-2113.859,307.5,-378261.71875
-3094.299,341.47,-378261.71875
-2911.789,325.53,-378261.71875
-2851.139,314.93,-378261.71875
-2761.459,303.75,-378261.71875
-2615.769,291.45,-378261.71875
-2525.009,281.45,-378261.71875
-2519.199,273.98,-378261.71875
-2510.359,266.47,-378261.71875
-2590.489,260.59,-378261.71875
-2520.619,252.04,-378261.71875
-2492.719,244.38,-378261.71875
-2439.789,236.67,-378261.71875
-2858.839,232.09,-378261.71875
-2911.879,223.95,-378261.71875
-2217.889,215.37,-378261.71875
-2229.879,208.9,-378261.71875
-2247.849,202.32,-378261.71875
-2226.809,195.97,-378261.71875
-2218.739,189.59,-378261.71875
-2136.669,184.33,-378261.71875
-2211.559,176.83,-378261.71875
-2190.439,170.83,-378261.71875
-2276.279,162.48,-378261.71875
-2211.139,157.56,-378261.71875
-2385.889,146.08,-378261.71875
-2384.679,139.18,-378261.71875
-2467.399,129.37,-378261.71875
-2454.149,122.69,-378261.71875
-2433.889,116.37,-378261.71875
-2176.829,120.47,-378261.71875
-2149.579,115.4,-378261.71875
-2125.309,110.34,-378261.71875
-2195.899,100.47,-378261.71875
-2445.179,80.32,-378261.71875
-2397.849,75.94,-378261.71875
-2321.579,73.61,-378261.71875
-2298.209,68.33,-378261.71875
-2331.689,59.39,-378261.71875
-2314.269,53.8,-378261.71875
-2270.909,50.2,-378261.71875
-2268.419,43.75,-378261.71875
-2291.839,35.28,-378261.71875
-2337.159,24.89,-378261.71875
3841.04,4711.17,-378548.0625
3781.95,4668.24,-378548.0625
3627.32,4537.07,-378548.0625
3619.22,4552.98,-378548.0625
3728.27,5314.08,-378548.0625
3716.36,5328.96,-378548.0625
3708.72,5381.38,-378548.0625
3691.92,5389.72,-378548.0625
482.67,5093.8,-378548.0625
468.96,5100.17,-378548.0625
461.47,5173.21,-378548.0625
479.64,5533.06,-378548.0625
463.73,5529.47,-378548.0625
185.71,4813.09,-378548.0625
169.73,4745.67,-378548.0625
156.12,4734.17,-378548.0625
169.45,5549.18,-378548.0625
130.39,4754.01,-378548.0625
117.1,4751.39,-378548.0625
-2377.18,6864.15,-378548.0625
-2395.84,6855.33,-378548.0625
-2615.43,4772.84,-378548.0625
-2628.68,4765.22,-378548.0625
-2635.89,4747.19,-378548.0625
-3993.84,1761.03,-378548.0625
-3974.28,1609.05,-378548.0625
-3795.39,1375.11,-378548.0625
-3776.73,1357.41,-378548.0625
-3805.9,1354.18,-378548.0625
-3766.48,1271.15,-378548.0625
